../Dataset/dataset.csv,speed,angleToTrackAxis,trackEdgeSensor_0,trackEdgeSensor_1,trackEdgeSensor_2,trackEdgeSensor_3,trackEdgeSensor_4,trackEdgeSensor_5,trackEdgeSensor_6,trackEdgeSensor_7,trackEdgeSensor_8,trackEdgeSensor_9,trackEdgeSensor_10,trackEdgeSensor_11,trackEdgeSensor_12,trackEdgeSensor_13,trackEdgeSensor_14,trackEdgeSensor_15,trackEdgeSensor_16,trackEdgeSensor_17,trackEdgeSensor_18,focusSensor_0,focusSensor_1,focusSensor_2,focusSensor_3,focusSensor_4,gear,opponentSensor_0,opponentSensor_1,opponentSensor_2,opponentSensor_3,opponentSensor_4,opponentSensor_5,opponentSensor_6,opponentSensor_7,opponentSensor_8,opponentSensor_9,opponentSensor_10,opponentSensor_11,opponentSensor_12,opponentSensor_13,opponentSensor_14,opponentSensor_15,opponentSensor_16,opponentSensor_17,opponentSensor_18,opponentSensor_19,opponentSensor_20,opponentSensor_21,opponentSensor_22,opponentSensor_23,opponentSensor_24,opponentSensor_25,opponentSensor_26,opponentSensor_27,opponentSensor_28,opponentSensor_29,opponentSensor_30,opponentSensor_31,opponentSensor_32,opponentSensor_33,opponentSensor_34,opponentSensor_35,racePosition,lateralSpeed,currentLapTime,damage,distanceFromStartLine,distanceRaced,fuelLevel,lastLapTime,rpm,trackPosition,wheelSpinVelocity_0,wheelSpinVelocity_1,wheelSpinVelocity_2,wheelSpinVelocity_3,z,zSpeed,accel,brake,clutch,gear,steer,meta,focus
sample 0,-0.00061278,0.00969284,4.99776000,5.20369000,5.88660000,7.46181000,11.93660000,200.00000000,136.12900000,74.64820000,51.69450000,39.76870000,32.51490000,27.67730000,24.06630000,21.15670000,16.94840000,13.23210000,11.25890000,10.28510000,10.00290000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,0.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,1.00000000,0.00284858,-0.98200000,0.00000000,2032.56000000,0.00000000,94.00000000,0.00000000,942.47800000,0.33366600,0.00000000,0.00000000,0.00000000,0.00000000,0.34560900,-0.00018475,0.0,0.0,0.0,1,0.0,0,360
sample 1,-0.00061278,0.00969284,4.99776000,5.20369000,5.88660000,7.46181000,11.93660000,200.00000000,136.12900000,74.64820000,51.69450000,39.76870000,32.51490000,27.67730000,24.06630000,21.15670000,16.94840000,13.23210000,11.25890000,10.28510000,10.00290000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,0.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,1.00000000,0.00284858,-0.96200000,0.00000000,2032.56000000,0.00000000,94.00000000,0.00000000,942.47800000,0.33366600,0.00000000,0.00000000,0.00000000,0.00000000,0.34560900,-0.00018475,0.0,0.0,0.0,1,0.0,0,360
sample 2,-0.00061278,0.00969284,4.99776000,5.20369000,5.88660000,7.46181000,11.93660000,200.00000000,136.12900000,74.64820000,51.69450000,39.76870000,32.51490000,27.67730000,24.06630000,21.15670000,16.94840000,13.23210000,11.25890000,10.28510000,10.00290000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,0.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,1.00000000,0.00284858,-0.94200000,0.00000000,2032.56000000,0.00000000,94.00000000,0.00000000,942.47800000,0.33366600,0.00000000,0.00000000,0.00000000,0.00000000,0.34560900,-0.00018475,0.0,0.0,0.0,1,0.0,0,360
sample 3,-0.00061278,0.00969284,4.99776000,5.20369000,5.88660000,7.46181000,11.93660000,200.00000000,136.12900000,74.64820000,51.69450000,39.76870000,32.51490000,27.67730000,24.06630000,21.15670000,16.94840000,13.23210000,11.25890000,10.28510000,10.00290000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,0.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,1.00000000,0.00284858,-0.92200000,0.00000000,2032.56000000,0.00000000,94.00000000,0.00000000,942.47800000,0.33366600,0.00000000,0.00000000,0.00000000,0.00000000,0.34560900,-0.00018475,0.0,0.0,0.0,1,0.0,0,360
sample 4,-0.00061278,0.00969284,4.99776000,5.20369000,5.88660000,7.46181000,11.93660000,200.00000000,136.12900000,74.64820000,51.69450000,39.76870000,32.51490000,27.67730000,24.06630000,21.15670000,16.94840000,13.23210000,11.25890000,10.28510000,10.00290000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,0.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,1.00000000,0.00284858,-0.90200000,0.00000000,2032.56000000,0.00000000,94.00000000,0.00000000,942.47800000,0.33366600,0.00000000,0.00000000,0.00000000,0.00000000,0.34560900,-0.00018475,0.0,0.0,0.0,1,0.0,0,360
sample 5,-0.00061278,0.00969284,4.99776000,5.20369000,5.88660000,7.46181000,11.93660000,200.00000000,136.12900000,74.64820000,51.69450000,39.76870000,32.51490000,27.67730000,24.06630000,21.15670000,16.94840000,13.23210000,11.25890000,10.28510000,10.00290000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,0.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,1.00000000,0.00284858,-0.88200000,0.00000000,2032.56000000,0.00000000,94.00000000,0.00000000,942.47800000,0.33366600,0.00000000,0.00000000,0.00000000,0.00000000,0.34560900,-0.00018475,0.0,0.0,0.0,1,0.0,0,360
sample 6,-0.00061278,0.00969284,4.99776000,5.20369000,5.88660000,7.46181000,11.93660000,200.00000000,136.12900000,74.64820000,51.69450000,39.76870000,32.51490000,27.67730000,24.06630000,21.15670000,16.94840000,13.23210000,11.25890000,10.28510000,10.00290000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,0.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,1.00000000,0.00284858,-0.86200000,0.00000000,2032.56000000,0.00000000,94.00000000,0.00000000,942.47800000,0.33366600,0.00000000,0.00000000,0.00000000,0.00000000,0.34560900,-0.00018475,0.0,0.0,0.0,1,0.0,0,360
sample 7,-0.00061278,0.00969284,4.99776000,5.20369000,5.88660000,7.46181000,11.93660000,200.00000000,136.12900000,74.64820000,51.69450000,39.76870000,32.51490000,27.67730000,24.06630000,21.15670000,16.94840000,13.23210000,11.25890000,10.28510000,10.00290000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,0.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,1.00000000,0.00284858,-0.84200000,0.00000000,2032.56000000,0.00000000,94.00000000,0.00000000,942.47800000,0.33366600,0.00000000,0.00000000,0.00000000,0.00000000,0.34560900,-0.00018475,0.0,0.0,0.0,1,0.0,0,360
sample 8,-0.00061278,0.00969284,4.99776000,5.20369000,5.88660000,7.46181000,11.93660000,200.00000000,136.12900000,74.64820000,51.69450000,39.76870000,32.51490000,27.67730000,24.06630000,21.15670000,16.94840000,13.23210000,11.25890000,10.28510000,10.00290000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,0.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,1.00000000,0.00284858,-0.82200000,0.00000000,2032.56000000,0.00000000,94.00000000,0.00000000,942.47800000,0.33366600,0.00000000,0.00000000,0.00000000,0.00000000,0.34560900,-0.00018475,0.0,0.0,0.0,1,0.0,0,360
sample 9,-0.00061278,0.00969284,4.99776000,5.20369000,5.88660000,7.46181000,11.93660000,200.00000000,136.12900000,74.64820000,51.69450000,39.76870000,32.51490000,27.67730000,24.06630000,21.15670000,16.94840000,13.23210000,11.25890000,10.28510000,10.00290000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,0.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,200.00000000,1.00000000,0.00284858,-0.80200000,0.00000000,2032.56000000,0.00000000,94.00000000,0.00000000,942.47800000,0.33366600,0.00000000,0.00000000,0.00000000,0.00000000,0.34560900,-0.00018475,0.0,0.0,0.0,1,0.0,0,360
